"","file_handles","avg_received_size","min_request_size","max_request_size","avg_distance","pattern_description"
"41",1,32,32,32,18116.63671875,"SS"
"42",1,32,32,32,18769.83984375,"SS"
"43",1,32,32,32,18131.4609375,"SS"
"44",1,32,32,32,18571.134765625,"SS"
"45",1,32,32,32,19045.716796875,"SS"
"46",1,32,32,32,19509.537109375,"SS"
"47",1,32,32,32,18871.216796875,"SS"
"48",1,32,32,32,19191.072265625,"SS"
"49",1,32,32,32,20781.0625,"SS"
"50",1,32,32,32,20318.189453125,"SS"
"51",1,32,32,32,20529.12890625,"SS"
"52",1,32,32,32,20282.90625,"SS"
"53",1,32,32,32,21078.798828125,"SS"
"54",1,32,32,32,20350.85546875,"SS"
"55",1,32,32,32,20322.48828125,"SS"
"56",1,32,32,32,21298.9921875,"SS"
"57",1,32,32,32,20495.169921875,"SS"
"58",1,32,32,32,21342.46875,"SS"
"59",1,32,32,32,21586.673828125,"SS"
"60",1,32,32,32,21516.41796875,"SS"
"61",1,32,32,32,21738.234375,"SS"
"62",1,32,32,32,21233.396484375,"SS"
"63",1,32,32,32,22569.283203125,"SS"
"64",1,32,32,32,22725.3203125,"SS"
"65",1,32,32,32,21538.56640625,"SS"
"66",1,32,32,32,22408.73828125,"SS"
"67",1,32,32,32,21209.095703125,"SS"
"68",1,32,32,32,23227.421875,"SS"
"69",1,32,32,32,22502.619140625,"SS"
"70",1,32,32,32,22285.72265625,"SS"
"71",1,32,32,32,23931.146484375,"SS"
"72",1,32,32,32,22914.462890625,"SS"
"73",1,32,32,32,24157.91015625,"SS"
"74",1,32,32,32,23717.265625,"SS"
"75",1,32,32,32,23068.650390625,"SS"
"76",1,32,32,32,23606.55859375,"SS"
"77",1,32,32,32,23559.1015625,"SS"
"78",1,32,32,32,23883.25,"SS"
"79",1,32,32,32,23469.09375,"SS"
"80",1,32,32,32,24077.34765625,"SS"
"405",1,32,32,32,103477.1796875,"SS"
"406",1,32,32,32,95049.734375,"SS"
"407",1,32,32,32,94747.2421875,"SS"
"408",1,32,32,32,99434.96875,"SS"
"409",1,32,32,32,114602.3359375,"SS"
"410",1,32,32,32,93571.3515625,"SS"
"411",1,32,32,32,104636.3828125,"SS"
"412",1,32,32,32,94118.578125,"SS"
"413",1,32,32,32,88231.0859375,"SS"
"414",1,32,32,32,110138.9296875,"SS"
"415",1,32,32,32,87685.6640625,"SS"
"416",1,32,32,32,96280.8828125,"SS"
"417",1,32,32,32,98280.4375,"SS"
"418",1,32,32,32,86791.78125,"SS"
"419",1,32,32,32,109198.671875,"SS"
"420",1,32,32,32,82475.546875,"SS"
"421",1,32,32,32,97389.6953125,"SS"
"422",1,32,32,32,81468.5234375,"SS"
"423",1,32,32,32,93355.484375,"SS"
"424",1,32,32,32,110391.234375,"SS"
"425",1,32,32,32,74939.5625,"SS"
"426",1,32,32,32,112439.5078125,"SS"
"427",1,32,32,32,94203.28125,"SS"
"428",1,32,32,32,84858.828125,"SS"
"429",1,32,32,32,101600.5625,"SS"
"430",1,32,32,32,97541.8828125,"SS"
"431",1,32,32,32,104549.7890625,"SS"
"432",1,32,32,32,96601.265625,"SS"
"433",1,32,32,32,99830.0625,"SS"
"434",1,32,32,32,102466.46875,"SS"
"435",1,32,32,32,86132.8359375,"SS"
"436",1,32,32,32,116469.5703125,"SS"
"437",1,32,32,32,90285.4140625,"SS"
"438",1,32,32,32,90725.5390625,"SS"
"439",1,32,32,32,102755.6953125,"SS"
"440",1,32,32,32,75565.0078125,"SS"
"441",1,32,32,32,114317.53125,"SS"
"442",1,32,32,32,84186.0546875,"SS"
"443",1,32,32,32,109269.2265625,"SS"
"735",256,256,256,256,0,"FP"
"736",256,256,256,256,0,"FP"
"737",256,256,0,256,0,"FP"
"738",256,256,0,256,0,"FP"
"739",256,256,0,256,0,"FP"
"740",256,256,0,256,0,"FP"
"741",256,256,256,256,0,"FP"
"742",256,256,256,256,0,"FP"
"743",256,256,256,256,0,"FP"
"744",256,256,256,256,0,"FP"
"745",256,256,256,256,0,"FP"
"746",256,256,256,256,0,"FP"
"747",256,256,256,256,0,"FP"
"748",256,256,256,256,0,"FP"
"749",256,256,256,256,0,"FP"
